,Capital Stock Change,Beginning Cash,Assets Liabilities Change (Total),Financing cash flow,Capital expenditures,Other financial activities,Stock Based Compensation,Change in Cash,Net Aquisitions,Change in inventories,Repayment/Issuance of Debt (Net),Ending Cash,Accounts Receivable Change,Exchange Rate Adjustment,Operating Cash Flow,Non Cash Items (Other),Net Cash/Marketcap,Net Income,Dividends Paid (Common),Accounts Payable Change,Change in other assets and liabilities,Investing cash flow,"Equity Repurchase (Common, Net)",Long-Term Investments Change (Net),Issuance/Purchase of Shares,Change in payables and accrued liability,Depreciation & Amortization,Investments Change (Net),Other investing activities,Other operating activities,year,ticker,Short Term Investments Change (Net),Change in intangibles (net),Dividends Paid (Total),Income tax paid,Dividends Paid (Preffered),"Equity Repurchase (Preffered, Net)",Discontinued Operations and Adjustments
3,12923000000.0,28033000000.0,3023000000.0,10006000000.0,-1697000000.0,-625000000.0,4483000000.0,20829000000.0,-2068000000.0,2094205048.173,-2253000000.0,48862000000.0,0.0,579000000.0,25507000000.0,-3329000000.0,-0.07,19821000000.0,-39000000.0,,-5341000000.0,-15263000000.0,12923000000.0,-5026000000.0,12923000000.0,8006000000.0,5992000000.0,-8544000000.0,-27000000.0,,2020,BABA,-3518000000.0,-2927000000.0,-39000000.0,358000000.0,0.0,0.0,
4,-1567000000.0,30207000000.0,4807000000.0,-1101000000.0,-4818000000.0,1130000000.0,5586000000.0,-630000000.0,-5282000000.0,1269936305.7325,-630000000.0,29577000000.0,0.0,484000000.0,22496000000.0,210000000.0,-0.0247,11955000000.0,-34000000.0,,722000000.0,-22509000000.0,-1567000000.0,-11024000000.0,-1567000000.0,3629000000.0,5524000000.0,-9828000000.0,-3000000.0,,2019,BABA,1196000000.0,-2578000000.0,-34000000.0,456000000.0,0.0,0.0,
5,65000000.0,22915000000.0,3519000000.0,3246000000.0,-4114000000.0,-2161000000.0,3201000000.0,8860000000.0,-87000000.0,720811406.5825,5360000000.0,31775000000.0,-96560509.5541,-967000000.0,19955000000.0,3135000000.0,-0.031,9791000000.0,-18000000.0,,-1227000000.0,-13374000000.0,65000000.0,-8301000000.0,65000000.0,3692000000.0,3510000000.0,-8418000000.0,-113000000.0,,2018,BABA,-117000000.0,-642000000.0,-18000000.0,1054000000.0,0.0,0.0,
6,220000000.0,15519000000.0,1055000000.0,4782000000.0,-1775000000.0,324000000.0,2324000000.0,5363000000.0,-4824000000.0,0.0,4262000000.0,20882000000.0,0.0,296000000.0,11670000000.0,2549000000.0,-0.0334,5989000000.0,-24000000.0,,-400000000.0,-11385000000.0,220000000.0,-5056000000.0,220000000.0,772000000.0,2077000000.0,-4041000000.0,29000000.0,,2017,BABA,1015000000.0,-774000000.0,-24000000.0,683000000.0,0.0,0.0,
7,-2962000000.0,16779000000.0,1209000000.0,-2457000000.0,-843000000.0,121000000.0,2494000000.0,-213000000.0,526000000.0,0.0,384000000.0,16566000000.0,0.0,72000000.0,8815000000.0,-4489000000.0,-0.0473,11056000000.0,0.0,,-240000000.0,-6643000000.0,-2962000000.0,-6320000000.0,-2962000000.0,1257000000.0,1039000000.0,-5603000000.0,116000000.0,,2016,BABA,717000000.0,-839000000.0,0.0,192000000.0,0.0,0.0,
8,9910000000.0,5331000000.0,299000000.0,14114000000.0,-769000000.0,29000000.0,2102000000.0,12122000000.0,-1859000000.0,0.0,4202000000.0,17453000000.0,0.0,-18000000.0,6649000000.0,1715000000.0,-0.0628,3923000000.0,-10000000.0,,-1634000000.0,-8623000000.0,9910000000.0,-5523000000.0,9910000000.0,1706000000.0,712000000.0,-5705000000.0,184000000.0,,2015,BABA,-182000000.0,-474000000.0,-27000000.0,227000000.0,-17000000.0,0.0,
9,-517000000.0,4900000000.0,-723000000.0,1509000000.0,-530000000.0,-1000000.0,458000000.0,427000000.0,-125000000.0,0.0,2061000000.0,5327000000.0,0.0,-15000000.0,4252000000.0,936000000.0,-0.0028,3772000000.0,0.0,,-1529000000.0,-5319000000.0,310000000.0,-3093000000.0,-517000000.0,644000000.0,267000000.0,-4456000000.0,32000000.0,,2014,BABA,-1363000000.0,-240000000.0,-34000000.0,162000000.0,-34000000.0,-827000000.0,
0,-3647800000.0,4709200000.0,-644600000.0,-6580200000.0,-1860300000.0,38200000.0,166700000.0,-2125400000.0,-361100000.0,5600000.0,1197600000.0,2583800000.0,-264100000.0,-253800000.0,7386700000.0,-16700000.0,0.1745,6177400000.0,-4168200000.0,31300000.0,-340000000.0,-2678100000.0,-3647800000.0,,-3647800000.0,31000000.0,1870600000.0,,-456700000.0,,2022,MCD,,,-4168200000.0,-417400000.0,,,0.0
1,-559800000.0,3449100000.0,454200000.0,-5595600000.0,-1933800000.0,-46700000.0,139200000.0,1260100000.0,-178000000.0,-62200000.0,-1070500000.0,4709200000.0,309900000.0,-120100000.0,9141500000.0,-726000000.0,0.158,7545200000.0,-3918600000.0,225000000.0,-490000000.0,-2165700000.0,-559800000.0,,-559800000.0,225000000.0,1868100000.0,,-53900000.0,,2021,MCD,,,-3918600000.0,-18500000.0,,,0.0
2,-612300000.0,898500000.0,-212100000.0,-2249000000.0,-1613400000.0,-122000000.0,92400000.0,2550600000.0,10200000.0,-68600000.0,2238200000.0,3449100000.0,-6800000.0,80200000.0,6265200000.0,-4600000.0,0.2127,4730500000.0,-3752900000.0,-137500000.0,-63000000.0,-1545800000.0,-612300000.0,,-612300000.0,-138000000.0,1751400000.0,,57400000.0,,2020,MCD,,,-3752900000.0,800000.0,,,0.0
